username, created_at, lng, lat, text
missy92_2000, Wed Jan 27 02:01:42 +0000 2021, -86.680738, 32.576227, @ALcomMobile There are people with health risks that have been advised no to take the vaccine until more informatio… https://t.co/cdaI9cMJKI 
docproctor37, Wed Jan 27 02:01:52 +0000 2021, -81.705467, 41.495940, @cow_belle65 @GovMikeDeWine @OHdeptofhealth Both my parents are in a nursing home and both got covid, which thankfu… https://t.co/VCOWaBb7c9 
AneaB5, Wed Jan 27 02:01:54 +0000 2021, -1.233434, 51.754286, This Philly Fighting Covid fiasco is a mess, an absolute mess. I love my city, but our local government officials h… https://t.co/4t8nmn6nML 
BigFalHoe, Wed Jan 27 02:02:08 +0000 2021, -82.739260, 27.755378, Is anyone interested in getting the COVID vaccine?They started at my hospital. Most folks did well with the 1st s… https://t.co/mPuMiJDzrH 
kovacsjulie, Wed Jan 27 02:02:22 +0000 2021, -122.330602, 47.614817, Where is my 92 year old father’s vaccine? At this rate he’ll be 93 before he gets vaccinated! 
DocBertoli, Wed Jan 27 02:02:43 +0000 2021, -115.038337, 36.006256, Covid Vaccine #1 done- Finally!! 
Hala_Pinho, Wed Jan 27 02:03:22 +0000 2021, -75.340792, 40.630183, I’m going for my second dose in about 2 weeks! 
Gjkalisz, Wed Jan 27 02:03:30 +0000 2021, -77.014398, 38.898603, Whats more effective: a. have 65+ years old sign up on the internetb. sign up and vaccination site at your loca… https://t.co/itstRP4Ftq 
dingdongbahan, Wed Jan 27 02:03:43 +0000 2021, 121.065241, 14.504112, “Siguradong magkakaroon ng supply ng vaccine ang Taguig” - Vince Dizon https://t.co/unFPeHHuJF 
bhherring, Wed Jan 27 02:07:26 +0000 2021, -78.657837, 35.843981, For you #RobCo folks.... #Lumberton #LumbertonNC #RobesonCounty #PembrokeNC #vaccine #COVIDVaccines 
J_SuperStar05, Wed Jan 27 02:07:42 +0000 2021, -83.654745, 42.266022, The first shot of the covid vaccine was so nice, I went back and had it done twice #covidvaccinated✔️ #maskup… https://t.co/VJNwVbEM0h 
PairsonnalitesE, Wed Jan 27 02:08:04 +0000 2021, -123.123168, 49.315829, AMGMT — Moderna announces modifying vaccine and a possible third dose: He says once vaccines become more available,… https://t.co/P4uuK3O6HA 
snehiil, Wed Jan 27 02:08:31 +0000 2021, 77.095086, 28.638489, Vaccine a must to achieve herd immunity: Docs | Delhi News - Times of India https://t.co/YKX1qePSp5 
shellgonzo, Wed Jan 27 02:08:33 +0000 2021, -108.193367, 36.757420, GOOD!!! 
codebluenews, Wed Jan 27 02:08:49 +0000 2021, 101.684686, 3.124524, Malaysia Targets 75,000 Daily Jabs In Initial Covid-19 Vaccine RolloutThe Covid-19 vaccination programme is expec… https://t.co/wxpVUSEPpp 
noahfs50540, Wed Jan 27 02:08:57 +0000 2021, -92.436774, 38.304558, Really miss telling the boys I love them all very very very very much as we exit the storm cellar after jug band re… https://t.co/OGrgye0wfy 
69destinychoice, Wed Jan 27 02:09:18 +0000 2021, -92.342322, 34.721886, @RpsAgainstTrump Not until they have received the vaccine. 
phillysouledout, Wed Jan 27 02:09:26 +0000 2021, -75.117998, 40.004866, You know why 
domgiii, Wed Jan 27 02:09:36 +0000 2021, -77.036700, 38.895100, The woman who led the team on the creation of the Vaccine! Had this to say! @ Washington D.C. https://t.co/b3oxFY3Ft7 
DaddiWheats, Wed Jan 27 02:09:54 +0000 2021, -80.307064, 25.976124, Her voice so recognizable looooooool 
CarJacques7, Wed Jan 27 02:10:01 +0000 2021, -91.266591, 41.576368, Had the privilege of completing the Covid-19 vaccine process today. #DoYourPart https://t.co/coQqJ4novN 
waterute, Wed Jan 27 02:10:25 +0000 2021, -111.915910, 40.874536, Childless uncles you say? My time to shine 
vasconez_w, Wed Jan 27 02:11:06 +0000 2021, -80.233328, 25.782353, #completeyourCOVID19vaccinationseries 
devoladaz, Wed Jan 27 02:11:39 +0000 2021, -117.603783, 34.045158, @RuidoEnLaRed @NachoRgz @HLGatell Sputnik tiene eficacia del 91.4% y los resultados salieron en Diciembre(fase III)… https://t.co/Vk2Tzy21ju 
lbass007, Wed Jan 27 02:12:22 +0000 2021, -73.709589, 45.605568, @Andrew_Zettel The provinces failed administering the vaccine 
dansaltzstein, Wed Jan 27 02:12:29 +0000 2021, -73.831187, 40.670879, I know everyone is focusing on “end of summer,” but a couple of things to remember: We need to get to ~70% for herd… https://t.co/qw1CXiTh3O 
tomgara, Wed Jan 27 02:12:29 +0000 2021, -73.948775, 40.655138, Anyhow, lots of 2000s omens for the Biden era: in the roaring post vaccine ‘20s we’re bringing back Chuck Norris st… https://t.co/PkHrh6Bmbl 
PublicCitizenTX, Wed Jan 27 02:14:27 +0000 2021, -97.754724, 30.323346, Important thread. What say you about this “fresh hell,” @GovAbbott? 
moyermusicroom, Wed Jan 27 02:14:32 +0000 2021, -84.539813, 39.137038, @StephBDent @jimmy_roy @GovMikeDeWine @IamCPS I've been teaching in Hamilton County in person since the start of th… https://t.co/DdeqJTK4az 
ArGhahremani, Wed Jan 27 02:14:47 +0000 2021, -122.998970, 49.353963, Anyone in Gov. has any response to this?! This conversation totally  contradicts what PM and Gov. trying to make us… https://t.co/zK8bsJakL1 
